"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"18","https://t.co/BU3Txz9oqW  #www.amplifysystems.com #H4EAD #GC-EAD #GreenCard  #USCitizens #OPT-EAD #TN-VISA #h1bvisa… https://t.co/dC5bZLUymL",FALSE,0,NA,2018-04-04 04:56:49,TRUE,NA,"981395140861448193",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Amplifysystem",0,FALSE,FALSE,NA,NA
"19","RT @NumbersUSA: ICYMI -- MPI Study: Three times more H-1B visas were issued in FY 2016 than the annual cap of 85,000 due to approval of pet…",FALSE,0,NA,2018-04-04 02:45:32,FALSE,NA,"981362100298833922",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>","Schweezland1",28,TRUE,FALSE,NA,NA
"20","RT @vamsiv58: Please cosponsor #S281 @RonWyden  @SenJeffMerkley 

This bill helps clearing #GCBacklog 
and gives hope to hardworking #h1bvi…",FALSE,0,NA,2018-04-04 02:25:08,FALSE,NA,"981356968777457664",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","priyaursal",48,TRUE,FALSE,NA,NA
"21","RT @doug_rand: The #H1BVisa is backwards: ideas from academics, lawmakers, and me on how to (some day) reform the high-skill #immigration s…",FALSE,0,NA,2018-04-04 02:10:20,FALSE,NA,"981353243572883457",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","siddesai85",15,TRUE,FALSE,NA,NA
"22","RT @NumbersUSA: MPI Study: Three times more H-1B visas were issued in FY 2016 than the annual cap of 85,000 due to approval of petitions fr…",FALSE,0,NA,2018-04-04 01:16:05,FALSE,NA,"981339590069051392",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","jonny_bratwurst",41,TRUE,FALSE,NA,NA
"23","RT @NumbersUSA: ICYMI -- MPI Study: Three times more H-1B visas were issued in FY 2016 than the annual cap of 85,000 due to approval of pet…",FALSE,0,NA,2018-04-04 01:14:43,FALSE,NA,"981339245498396673",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Fred8835Fred",28,TRUE,FALSE,NA,NA
"24","RT @NumbersUSA: ICYMI -- MPI Study: Three times more H-1B visas were issued in FY 2016 than the annual cap of 85,000 due to approval of pet…",FALSE,0,NA,2018-04-04 00:45:01,FALSE,NA,"981331770783256576",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","lyndaloo222",28,TRUE,FALSE,NA,NA
"25","Will #H1BVisa changes push tech jobs out of the US? https://t.co/jPfa5etJem",FALSE,0,NA,2018-04-04 00:32:00,FALSE,NA,"981328496168349696",NA,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","CIOdive",0,FALSE,FALSE,NA,NA
"26","RT @OTwit365: #NoH1B #STOPH1B #H1BVisa #h1b https://t.co/d8IGBhUXkB",FALSE,0,NA,2018-04-04 00:16:28,FALSE,NA,"981324589006573568",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","SagarYogendra",2,TRUE,FALSE,NA,NA
"27","RT @NumbersUSA: MPI Study: Three times more H-1B visas were issued in FY 2016 than the annual cap of 85,000 due to approval of petitions fr…",FALSE,0,NA,2018-04-04 00:01:32,FALSE,NA,"981320827965669377",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Patriot_Girl_TX",41,TRUE,FALSE,NA,NA
"28","RT @NumbersUSA: ICYMI -- MPI Study: Three times more H-1B visas were issued in FY 2016 than the annual cap of 85,000 due to approval of pet…",FALSE,0,NA,2018-04-03 23:57:15,FALSE,NA,"981319751732551680",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Patriot_Girl_TX",28,TRUE,FALSE,NA,NA
"29","RT @doug_rand: The #H1BVisa is backwards: ideas from academics, lawmakers, and me on how to (some day) reform the high-skill #immigration s…",FALSE,0,NA,2018-04-03 23:48:32,FALSE,NA,"981317556605775872",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","sudiptoimpmail",15,TRUE,FALSE,NA,NA
"30","RT @OTwit365: #NoH1B #STOPH1B #H1BVisa #h1b https://t.co/d8IGBhUXkB",FALSE,0,NA,2018-04-03 23:46:39,FALSE,NA,"981317082221563904",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","testtweeter010",2,TRUE,FALSE,NA,NA
"31","RT @NumbersUSA: MPI Study: Three times more H-1B visas were issued in FY 2016 than the annual cap of 85,000 due to approval of petitions fr…",FALSE,0,NA,2018-04-03 23:39:28,FALSE,NA,"981315274279456768",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","mmmmmmmmdu",41,TRUE,FALSE,NA,NA
"32","H1B visa time again? time to call immigration attorney Nelisse to ask about new I-129 fees https://t.co/75jKmz7jKM… https://t.co/JxnsSO3YIE",FALSE,4,NA,2018-04-03 23:30:14,TRUE,NA,"981312953545887744",NA,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","immigrationvisa",0,FALSE,FALSE,NA,NA
"33","RT @kkunapareddy1: Seriously? In spite of all these reports, high skilled immigrants currently are put in so much pain with #H1BVisa renewa…",FALSE,0,NA,2018-04-03 23:20:21,FALSE,NA,"981310466990407681",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","TBaishali",25,TRUE,FALSE,NA,NA
"34","RT @h4visaacurse: Luring foreign students on the name of finest education and #H1Bvisa, which takes 70 years for a  #GreenCard to arrive ������Y…",FALSE,0,NA,2018-04-03 23:17:01,FALSE,NA,"981309626317619201",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","priyaursal",167,TRUE,FALSE,NA,NA
"35","RT @NumbersUSA: ICYMI -- MPI Study: Three times more H-1B visas were issued in FY 2016 than the annual cap of 85,000 due to approval of pet…",FALSE,0,NA,2018-04-03 22:57:41,FALSE,NA,"981304763059965954",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Tare1935",28,TRUE,FALSE,NA,NA
"36","RT @NumbersUSA: ICYMI -- MPI Study: Three times more H-1B visas were issued in FY 2016 than the annual cap of 85,000 due to approval of pet…",FALSE,0,NA,2018-04-03 22:53:43,FALSE,NA,"981303762496245760",NA,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","JudyEads3",28,TRUE,FALSE,NA,NA
"37","RT @NumbersUSA: ICYMI -- MPI Study: Three times more H-1B visas were issued in FY 2016 than the annual cap of 85,000 due to approval of pet…",FALSE,0,NA,2018-04-03 22:39:11,FALSE,NA,"981300105390239744",NA,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","noel_lapointe",28,TRUE,FALSE,NA,NA
"38","NYC, Dallas and DC were the biggest recipients of #H1Bvisa approvals. https://t.co/qwpMfLB1bY",FALSE,0,NA,2018-04-03 22:29:00,FALSE,NA,"981297542167080960",NA,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","CIOdive",0,FALSE,FALSE,NA,NA
"39","RT @NumbersUSA: ICYMI -- MPI Study: Three times more H-1B visas were issued in FY 2016 than the annual cap of 85,000 due to approval of pet…",FALSE,0,NA,2018-04-03 22:23:48,FALSE,NA,"981296235771445248",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","cdhovey5",28,TRUE,FALSE,NA,NA
"40","RT @NumbersUSA: ICYMI -- MPI Study: Three times more H-1B visas were issued in FY 2016 than the annual cap of 85,000 due to approval of pet…",FALSE,0,NA,2018-04-03 22:21:27,FALSE,NA,"981295641136594945",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","jloh001",28,TRUE,FALSE,NA,NA
"41","RT @FWD_us: Better Immigration Policies Would Help U.S. Tech Companies #H1B #H1BVisa #withimmigrants https://t.co/YvoWpi5t7O",FALSE,0,NA,2018-04-03 22:15:05,FALSE,NA,"981294041517182981",NA,"<a href=\"http://www.hootsuite.com\" rel=\"nofollow\">Hootsuite</a>","CitizenPath",0,FALSE,FALSE,NA,NA
"42","RT @klugfirm: Excellent piece about reforms needed to business immigration by former Counselor to the Commissioner at the Immigration and N…",FALSE,0,NA,2018-04-03 22:02:49,FALSE,NA,"981290953066668033",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","NoahKlug",1,TRUE,FALSE,NA,NA
"43","Excellent piece about reforms needed to business immigration by former Counselor to the Commissioner at the Immigra… https://t.co/mOYPgfOCJ3",FALSE,1,NA,2018-04-03 22:01:22,TRUE,NA,"981290587797295104",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","klugfirm",1,FALSE,FALSE,NA,NA
"44","RT @NumbersUSA: ICYMI -- MPI Study: Three times more H-1B visas were issued in FY 2016 than the annual cap of 85,000 due to approval of pet…",FALSE,0,NA,2018-04-03 21:57:38,FALSE,NA,"981289650827464704",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","OCAmericans",28,TRUE,FALSE,NA,NA
"45","RT @NumbersUSA: ICYMI -- MPI Study: Three times more H-1B visas were issued in FY 2016 than the annual cap of 85,000 due to approval of pet…",FALSE,0,NA,2018-04-03 21:56:42,FALSE,NA,"981289415837474823",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","MAGA_Patriot293",28,TRUE,FALSE,NA,NA
"46","RT @NumbersUSA: ICYMI -- MPI Study: Three times more H-1B visas were issued in FY 2016 than the annual cap of 85,000 due to approval of pet…",FALSE,0,NA,2018-04-03 21:51:02,FALSE,NA,"981287988486287360",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","JuneSmith888",28,TRUE,FALSE,NA,NA
"47","RT @NumbersUSA: ICYMI -- MPI Study: Three times more H-1B visas were issued in FY 2016 than the annual cap of 85,000 due to approval of pet…",FALSE,0,NA,2018-04-03 21:50:29,FALSE,NA,"981287847985602560",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","joshdrake777",28,TRUE,FALSE,NA,NA
"48","RT @NumbersUSA: ICYMI -- MPI Study: Three times more H-1B visas were issued in FY 2016 than the annual cap of 85,000 due to approval of pet…",FALSE,0,NA,2018-04-03 21:47:05,FALSE,NA,"981286995128238081",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Piphogs",28,TRUE,FALSE,NA,NA
"49","RT @NumbersUSA: ICYMI -- MPI Study: Three times more H-1B visas were issued in FY 2016 than the annual cap of 85,000 due to approval of pet…",FALSE,0,NA,2018-04-03 21:44:55,FALSE,NA,"981286448103067648",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Dialmond",28,TRUE,FALSE,NA,NA
"50","RT @NumbersUSA: ICYMI -- MPI Study: Three times more H-1B visas were issued in FY 2016 than the annual cap of 85,000 due to approval of pet…",FALSE,0,NA,2018-04-03 21:43:25,FALSE,NA,"981286072268177408",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","FieldRoamer",28,TRUE,FALSE,NA,NA
"51","RT @NumbersUSA: ICYMI -- MPI Study: Three times more H-1B visas were issued in FY 2016 than the annual cap of 85,000 due to approval of pet…",FALSE,0,NA,2018-04-03 21:34:59,FALSE,NA,"981283949144981504",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","rhhhhh380",28,TRUE,FALSE,NA,NA
